"","ENEL","Volkswagen","UniCredit"
"1",0.00362766076880778,0.159044079045191,0.0145751667169512
"2",0.00351958159896749,0.128122806994097,0.0139612590103973
"3",0.00361683740578621,0.110922152002108,0.0242075553580525
"4",0.00351321197564154,0.151788335171196,0.0231640140988541
"5",0.00364597064198684,0.167061137439099,0.0220958284537078
"6",0.0035426117603008,0.185983439267228,0.0240270933184035
"7",0.00363171360916288,0.151723643633705,0.0312789530866976
"8",0.00382619638571107,0.13051792613842,0.0305318213688854
"9",0.00402414785460295,0.113699237230662,0.0305364502689769
"10",0.00390724916487662,0.102448381701448,0.0291638909280322
"11",0.00395838028638884,0.0950284946561794,0.0277916513735103
"12",0.00395591664995988,0.0814831749976675,0.0266426410755917
"13",0.0038331311793155,0.0814484981918034,0.025592305828312
"14",0.00371012107626042,0.0801680743692652,0.0251434629179665
"15",0.00359244897048204,0.0794869353274769,0.0242220046464588
"16",0.0034801929355618,0.079066632047679,0.0259707954711293
"17",0.00359628550337817,0.0788134812148612,0.0257009284205777
"18",0.00380045828004899,0.0874102922452139,0.0245114697371678
"19",0.00369343053778347,0.0884457097520918,0.0235588915303283
"20",0.00357723169378887,0.0815431977390657,0.0231314845514431
"21",0.00368869034086445,0.0776085349291351,0.0221907793804366
"22",0.00388279878942164,0.0751004830981199,0.0211729545098254
"23",0.00407535964193872,0.0681274704848044,0.0219914090098164
"24",0.00449025505005035,0.0637817670192399,0.0213075096688702
"25",0.00440721064749375,0.0610003523633942,0.02033702345724
"26",0.00426166460051938,0.059266737777406,0.0202441813230299
"27",0.00429336066544896,0.0581993667722795,0.0194672934303573
"28",0.00415778844683694,0.0575480601385035,0.0204140156752
"29",0.00402029154194725,0.0571528698870283,0.0198318509922582
"30",0.00388855063872855,0.0569139301329101,0.0196962933061205
"31",0.00396497822744007,0.0567697774176693,0.0198286671349399
"32",0.00395785007143441,0.0566829258874385,0.0189411655808695
"33",0.00383477169007837,0.0566306407574996,0.0183106869173241
"34",0.00393039144028893,0.0565991805741372,0.018506535247909
"35",0.00392349766663326,0.056580256839395,0.0176881201000061
"36",0.00380190204617377,0.0565688763904026,0.0169037619872465
"37",0.00368029981016467,0.0565620335112916,0.0164157688110904
"38",0.00356399784126101,0.0565579196846219,0.0159151908992657
"39",0.00345306301246547,0.0565554470363282,0.0154524675069245
"40",0.00357206874722459,0.0565539612872839,0.0147899104399259
"41",0.00377932483361774,0.0565530689739942,0.0144571754033791
"42",0.00377169623646549,0.0565525334935924,0.0142031426172471
"43",0.00365662989174199,0.0565522125739029,0.0139746514228707
"44",0.00374053632268016,0.0565520206667834,0.01339446469628
"45",0.00375317960179021,0.0565519063328627,0.0131573070963706
"46",0.00363983135913352,0.056551838642349,0.0126223505378003
"47",0.00372432584589279,0.0565517989976289,0.0124597741000141
"48",0.00361543420762799,0.0610981116760786,0.0123722260265831
"49",0.00369897802383536,0.0626907232449289,0.0118827865149498
"50",0.00388566582254594,0.0637030765046138,0.0114178825832268
