"","BMW","BBVA","ENEL"
"1",-0.000757097742990709,4.27762135402077e-05,-0.000810086189311221
"2",0.229988646062424,-0.000996789014988231,0.00482384760615506
"3",0.233449061580103,0.00292517713864093,0.00104893299087117
"4",-0.125165712157951,0.00021955892500003,0.00522812714266596
"5",-0.13054373783487,-0.00798348020236972,0.00113689840406206
"6",-0.130624389307755,0.00340076516853483,-0.00475268581630495
"7",0.0990410688478107,-0.00574483610258003,-0.00603335904478364
"8",0.0398186180085389,-0.000431281502398129,-0.0063118848125816
"9",0.0389304782848683,0.00296746636373424,-0.00137250671225964
"10",0.038917158852783,-0.00477741599441384,0.00470149650223028
"11",0.00058362547672175,-0.00335872530240788,-0.00397773076921659
"12",-0.0343912497931314,0.0117476746253944,-0.000864975420916458
"13",-0.034915756117428,0.0078815666112213,-0.000188147451464893
"14",-0.0349236216993347,0.00459158869071175,-4.09800550675854e-05
"15",-0.0349237393915303,0.000344781980889053,-8.9804280722916e-06
"16",-0.034923740891287,2.60866364660828e-05,0.00499797747260988
"17",-0.00752374064845185,0.0140021706144999,0.00608673514304137
"18",-0.00711283189011169,5.12821222145021e-05,0.00132353138091279
"19",-0.0131066695739293,-0.0099956629310114,0.000287834973815571
"20",0.104303442933045,-0.00174983317491861,0.00506263632575443
"21",0.1060642025937,-0.00613105825297922,0.00610091458874873
"22",-0.0184093926843047,0.0135400319299492,0.00632673473919443
"23",-0.0202760817019652,0.00901651677673332,-0.00862410350880438
"24",-0.0869707423297115,-0.00632277408526694,0.00312491188564668
"25",-0.0879709393380779,0.00452596300941011,0.000679641845201751
"26",-0.0879859382921637,0.00134019651713402,-0.00485205016751689
"27",0.0546805041085747,-0.0218988534220479,-0.00105490441278544
"28",0.0118200249351901,-0.00464326020444084,-0.000229264693849984
"29",0.011177260477794,0.0176515967099515,-4.97401273689135e-05
"30",0.0111676210678837,-0.00867493690995058,-0.00501070485661881
"31",0.0111674764239638,0.00134921513867337,0.00391053808698683
"32",-0.0128325258300208,-0.00389849474416692,0.000850405883660699
"33",-0.0131924457934076,-0.00129238622029337,0.0051850201293453
"34",-0.0131978432933124,-0.00109683585820797,-0.00387241454105069
"35",-0.0131979241375859,-0.00208218227718859,-0.000841895448806085
"36",-0.0131979252497132,-0.00115616856040113,-0.000182948678476791
"37",0.00700207483383508,-0.0020866984345469,-3.96693151358818e-05
"38",0.0073050074713592,0.00684342890897938,-8.51509011567941e-06
"39",0.00730955039603032,0.00651372559319796,0.00499825898895701
"40",0.00730961846920763,-0.008510889261232,0.00608697668978042
"41",0.00730961943457942,-0.00163858018462992,-0.00367623576321741
"42",-0.00349038060653584,0.00587712090421011,-0.000799178825891644
"43",-0.00365234459275143,-0.00455874715063498,0.00482639960446907
"44",-0.00365477348513821,-0.00234199751035202,-0.00395033177575943
"45",-0.003654809882633,-0.00117568721869876,-0.00085877742161955
"46",-0.00365481040073234,-0.00908818439088233,0.00481344066873035
"47",0.0111951896192579,0.0053178430650096,0.00104685047302677
"48",0.0114178900512343,0.000399049387403316,-0.00477214533893378
"49",0.0114212297289242,-0.0039700742276656,-0.00603747004053545
"50",0.0114212797262212,0.00770196650653343,0.0036873415282459
"51",-0.0169196287016575,-0.000421952756442856,-0.00419806517948818
"52",-0.0173446477618313,0.00696837849988885,0.00908729607584036
"53",-0.0173510214997066,-0.0144768765416661,-0.00302385552431339
"54",-0.0173511169527671,0.00791347781965701,-0.00565732726899082
